Designator,X,Y,Rotation,Value,Package,Layer
R36,75.97,47.57,270,10k,STA_RMCF1206_STP-L,Top
R37,78.26,47.53,270,100,RC1206N_PAN-L,Top
R38,71.98,46.8,180,330,STA_RMCF1206_STP-L,Top
R39,64.03,40.97,270,10k,STA_RMCF1206_STP-L,Top
R40,66.32,40.97,270,100,RC1206N_PAN-L,Top
R41,60.99,42.92,180,330,STA_RMCF1206_STP-L,Top
R42,63.04,26.61,0,10k,STA_RMCF1206_STP-L,Top
R43,63.01,28.9,0,100,RC1206N_PAN-L,Top
R44,59.42,25.62,270,330,STA_RMCF1206_STP-L,Top
R45,67.3,26.54,180,10k,STA_RMCF1206_STP-L,Top
R46,67.26,28.83,180,100,RC1206N_PAN-L,Top
R47,72.82,24.07,90,330,STA_RMCF1206_STP-L,Top
R5,110.58,72.94,180,10k,STA_RMCF1206_STP-L,Top
R56,125.69,21.02,90,330,STA_RMCF1206_STP-L,Top
R57,115.95,20.38,90,330,STA_RMCF1206_STP-L,Top
R58,113.59,20.35,270,330,STA_RMCF1206_STP-L,Top
R59,123.15,21.02,270,330,STA_RMCF1206_STP-L,Top
R6,110.66,70.66,180,100,RC1206N_PAN-L,Top
R60,74.89,9.53,90,130,STA_RMCF0402_STP-L,Top
R61,73.19,11.11,90,2.2k,STA_RMCF1206_STP-L,Top
R62,77.39,8.8,180,10k,STA_RMCF1206_STP-L,Top
R63,77.39,11.22,180,10k,STA_RMCF1206_STP-L,Top
R67,111.98,79.44,180,1M,RC1206N_YAG-L,Top
R68,111.98,81.76,180,100k,STA_RMCF1206_STP-L,Top
R9,110.58,65.98,180,10k,STA_RMCF1206_STP-L,Top
SW1,83.14,9.46,0,CHR_RBT,SW_PTS636S-J_CNK,Top
U13,75.83,29.97,180,VM_PWR,SOT23-5-SC189_SEM-L,Top
U2,114.69,52.87,0,ISO7760FDWRDW0016B_HV,DW0016B_HV,Top
U3,76.99,15.14,0,BQ25895RTWR,QFN50P400X400X80-25N,Top
U4,117.12,77.41,180,MIC2876,UDFN8_2X2_MCH-L,Top
U5,73.47,40.03,180,ISO7760FDWRDW0016B_HV,DW0016B_HV,Top
