Comment,Designator,Footprint
100,R21,ERJ-8ENF1000VRC1206N_PAN-L
330,R22,RMCF1206JT330RSTA_RMCF1206_STP-L
10k,R25,RMCF1206FT10K0STA_RMCF1206_STP-L
330,R26,RMCF1206JT330RSTA_RMCF1206_STP-L
100,R27,ERJ-8ENF1000VRC1206N_PAN-L
10k,R28,RMCF1206FT10K0STA_RMCF1206_STP-L
10k,R29,RMCF1206FT10K0STA_RMCF1206_STP-L
10k,R30,RMCF1206FT10K0STA_RMCF1206_STP-L
10k,R31,RMCF1206FT10K0STA_RMCF1206_STP-L
10k,R32,RMCF1206FT10K0STA_RMCF1206_STP-L
10k,R33,RMCF1206FT10K0STA_RMCF1206_STP-L
100,R34,ERJ-8ENF1000VRC1206N_PAN-L
330,R35,RMCF1206JT330RSTA_RMCF1206_STP-L
10k,R36,RMCF1206FT10K0STA_RMCF1206_STP-L
100,R37,ERJ-8ENF1000VRC1206N_PAN-L
330,R38,RMCF1206JT330RSTA_RMCF1206_STP-L
10k,R39,RMCF1206FT10K0STA_RMCF1206_STP-L
100,R40,ERJ-8ENF1000VRC1206N_PAN-L
330,R41,RMCF1206JT330RSTA_RMCF1206_STP-L
10k,R42,RMCF1206FT10K0STA_RMCF1206_STP-L
100,R43,ERJ-8ENF1000VRC1206N_PAN-L
330,R44,RMCF1206JT330RSTA_RMCF1206_STP-L
10k,R45,RMCF1206FT10K0STA_RMCF1206_STP-L
100,R46,ERJ-8ENF1000VRC1206N_PAN-L
330,R47,RMCF1206JT330RSTA_RMCF1206_STP-L
330,R56,RMCF1206JT330RSTA_RMCF1206_STP-L
330,R57,RMCF1206JT330RSTA_RMCF1206_STP-L
330,R58,RMCF1206JT330RSTA_RMCF1206_STP-L
330,R59,RMCF1206JT330RSTA_RMCF1206_STP-L
130,R60,RMCF0402FT130RSTA_RMCF0402_STP-L
2.2k,R61,RMCF1206JT2K20STA_RMCF1206_STP-L
10k,R62,RMCF1206FT10K0STA_RMCF1206_STP-L
10k,R63,RMCF1206FT10K0STA_RMCF1206_STP-L
1M,R67,RT1206BRD071MLRC1206N_YAG-L
100k,R68,RMCF1206FT100KSTA_RMCF1206_STP-L
CHR_RBT,SW1,PTS636SL43SMTRLFSSW_PTS636S-J_CNK
ESP32-DEVKITC-32E,U1,ESP32-DEVKITC-32E
ISO7760FDWRDW0016B_HV,U2,ISO7760FDWRDW0016B_HV
BQ25895RTWR,U3,BQ25895RTWR
MIC2876,U4,MIC2876-5.0YMT-TRUDFN8_2X2_MCH-L
ISO7760FDWRDW0016B_HV,U5,ISO7760FDWRDW0016B_HV
VM_PWR,U13,SC189ZSKTRTSOT23-5-SC189_SEM-L
