Part,Value,Device,Package,Description,BUTTON_ACTION,BUTTON_POWER,BUTTON_X,BUTTON_Y,CONNECTION_STATUS,COPYRIGHT,DATASHEET-URL,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,ELECTRO_INDEX,ELECTRO_MIDDLE,ELECTRO_PINKY,ELECTRO_RING,ELECTRO_THUMB,FLEX_INDEX,FLEX_MIDDLE,FLEX_PINKY,FLEX_RING,FLEX_THUMB,GENDER,HEIGHT,IR,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MFR_NAME,MIC2876,MOUNT,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,PACKAGING,PART-NUMBER,PARTREV,PINS,PITCH,POWER_STATUS,REFDES,ROWS,STANDARD,TYPE,VALUE,VIBRATOR_INDEX,VIBRATOR_MIDDLE,VIBRATOR_PINKY,VIBRATOR_RING,VIBRATOR_THUMB
C32,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL05B104KP5NNNC,,Samsung,,,,,,,,,,,,,,,,,,,,
C33,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL05B104KP5NNNC,,Samsung,,,,,,,,,,,,,,,,,,,,
C34,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL05B104KP5NNNC,,Samsung,,,,,,,,,,,,,,,,,,,,
C35,1uF,CL10B105KP8NNNCCAP_CL10_SAM-L,CAP_CL10_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL10B105KP8NNNC,,Samsung,,,,,,,,,,,,,,,,,,,,
C36,4.7uF,CL10A475KP8NNNCAP_CL10_SAM-L,CAP_CL10_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL10A475KP8NNN,,Samsung,,,,,,,,,,,,,,,,,,,,
C37,22uF,CL31A226KPHNNNECAP_CL31_SAM-L,CAP_CL31_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL31A226KPHNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C38,22uF,CL31A226KPHNNNECAP_CL31_SAM-L,CAP_CL31_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL31A226KPHNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
CR2,EL_P_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
CR3,EL_R_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
CR4,EL_M_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
CR5,EL_I_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
CR6,EL_T_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
CR7,VM_P_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
CR8,VM_R_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
CR9,VM_M_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
CR10,VM_I_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
