Name,X,Y,Angle,Value,Package
R39,64.03,40.97,270.00,10k,STA_RMCF1206_STP-L
R40,66.32,40.97,270.00,100,RC1206N_PAN-L
R41,60.99,42.92,180.00,330,STA_RMCF1206_STP-L
R42,63.04,26.61,0.00,10k,STA_RMCF1206_STP-L
R43,63.01,28.90,0.00,100,RC1206N_PAN-L
R44,59.42,25.62,270.00,330,STA_RMCF1206_STP-L
R45,67.30,26.54,180.00,10k,STA_RMCF1206_STP-L
R46,67.26,28.83,180.00,100,RC1206N_PAN-L
R47,72.82,24.07,90.00,330,STA_RMCF1206_STP-L
R5,110.58,72.94,180.00,10k,STA_RMCF1206_STP-L
R56,125.69,21.02,90.00,330,STA_RMCF1206_STP-L
R57,115.95,20.38,90.00,330,STA_RMCF1206_STP-L
R58,113.59,20.35,270.00,330,STA_RMCF1206_STP-L
R59,123.15,21.02,270.00,330,STA_RMCF1206_STP-L
R6,110.66,70.66,180.00,100,RC1206N_PAN-L
R60,74.89,9.53,90.00,130,STA_RMCF0402_STP-L
R61,73.19,11.11,90.00,2.2k,STA_RMCF1206_STP-L
R62,77.39,8.80,180.00,10k,STA_RMCF1206_STP-L
R63,77.39,11.22,180.00,10k,STA_RMCF1206_STP-L
R67,111.98,79.44,180.00,1M,RC1206N_YAG-L
R68,111.98,81.76,180.00,100k,STA_RMCF1206_STP-L
R9,110.58,65.98,180.00,10k,STA_RMCF1206_STP-L
SW1,83.14,9.46,0.00,CHR_RBT,SW_PTS636S-J_CNK
U13,75.83,29.97,180.00,VM_PWR,SOT23-5-SC189_SEM-L
U2,114.69,52.87,0.00,ISO7760FDWRDW0016B_HV,DW0016B_HV
U3,76.99,15.14,0.00,BQ25895RTWR,QFN50P400X400X80-25N
U4,117.12,77.41,180.00,MIC2876,UDFN8_2X2_MCH-L
U5,73.47,40.03,180.00,ISO7760FDWRDW0016B_HV,DW0016B_HV
